vehicle_id,stock_number,title,description,url,make,model,year,mileage.value,mileage.unit,vin,price,state_of_vehicle,condition,availability,exterior_color,body_style,transmission,drivetrain,fuel_type,dealer_name,address,latitude,longitude,image[0].url,image[1].url,image[2].url,image[3].url,image[4].url,image[5].url,image[6].url,image[7].url,image[8].url,image[9].url,image[10].url,image[11].url,image[12].url,image[13].url,image[14].url,image[15].url,image[16].url,image[17].url,image[18].url,image[19].url
24253273,10823,2006 BMW 3-Series 325i Sedan,"Used 2006 BMW 3-Series 325i Sedan with 127,311 miles. Stock #10823. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/24253273/Used-2006-BMW-3Series-325i-Sedan-for-sale-in-South-Lebanon-OH-45065,BMW,3-Series 325i Sedan,2006,127311,MI,WBAVB13536KX39760,4200.00 USD,used,good,available,Not Specified,OTHER,automatic,RWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673274286988.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673212577134.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673229946566.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673231024080.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673245817917.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673252390634.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673266256890.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673267425713.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24253273/639238673274195766.jpg,,,,,,,,,,,
24207501,10816,2008 Buick Enclave CXL AWD,"Used 2008 Buick Enclave CXL AWD with 163,417 miles. Stock #10816. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/24207501/Used-2008-Buick-Enclave-CXL-AWD-for-sale-in-South-Lebanon-OH-45065,Buick,Enclave CXL AWD,2008,163417,MI,5GAEV23798J305208,4995.00 USD,used,good,available,Not Specified,OTHER,automatic,AWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181038151700.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181037441777.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181102786107.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181104369286.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181120799382.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181121982111.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181134868454.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181136515972.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181150445893.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181151690443.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207501/639229181160161724.jpg,,,,,,,,,
23398551,10689,2016 Chevrolet Cruze LS Auto,"Used 2016 Chevrolet Cruze LS Auto with 133,971 miles. Stock #10689. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/23398551/Used-2016-Chevrolet-Cruze-LS-Auto-for-sale-in-South-Lebanon-OH-45065,Chevrolet,Cruze LS Auto,2016,133971,MI,1G1BC5SM4G7253622,6995.00 USD,used,good,available,Not Specified,OTHER,automatic,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603169002329.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603094611343.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603113026269.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603114177062.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603129637435.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603130753618.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603143787339.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603144759824.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23398551/639239603151538827.jpg,,,,,,,,,,,
23604629,10723,2011 Chevrolet Equinox LS 2WD,"Used 2011 Chevrolet Equinox LS 2WD with 169,189 miles. Stock #10723. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/23604629/Used-2011-Chevrolet-Equinox-LS-2WD-for-sale-in-South-Lebanon-OH-45065,Chevrolet,Equinox LS 2WD,2011,169189,MI,2GNALBEC9B1175033,3795.00 USD,used,good,available,Not Specified,SUV,automatic,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568289615336.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568221643705.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568246868088.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568275178224.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568300740012.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568326358135.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568350116702.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568364878766.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568379757638.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568394208701.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568409442651.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568424180847.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568439056687.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568454133491.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23604629/639195568469466787.jpg,,,,,
24207665,10818,2011 Chevrolet Equinox LTZ AWD,"Used 2011 Chevrolet Equinox LTZ AWD with 144,650 miles. Stock #10818. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/24207665/Used-2011-Chevrolet-Equinox-LTZ-AWD-for-sale-in-South-Lebanon-OH-45065,Chevrolet,Equinox LTZ AWD,2011,144650,MI,2CNFLGEC3B6379255,4595.00 USD,used,good,available,Not Specified,SUV,automatic,AWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392173759170.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392170410525.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392186189936.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392187197861.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392199779579.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392201277694.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392214268725.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392215345477.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24207665/639227392222587217.jpg,,,,,,,,,,,
24123413,10800,2006 Dodge Grand Caravan SXT,"Used 2006 Dodge Grand Caravan SXT with 164,536 miles. Stock #10800. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/24123413/Used-2006-Dodge-Grand-Caravan-SXT-for-sale-in-South-Lebanon-OH-45065,Dodge,Grand Caravan SXT,2006,164536,MI,2D4GP44L56R879860,2200.00 USD,used,good,available,Not Specified,MINIVAN,automatic,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486477072722.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486464727066.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486480867248.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486532065636.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486547095866.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486548330316.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486561823894.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486562950197.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24123413/639214486570852501.jpg,,,,,,,,,,,
23940375,10787,2008 Ford Focus SE Coupe,"Used 2008 Ford Focus SE Coupe with 72,945 miles. Stock #10787. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/23940375/Used-2008-Ford-Focus-SE-Coupe-for-sale-in-South-Lebanon-OH-45065,Ford,Focus SE Coupe,2008,72945,MI,1FAHP33N88W220685,3995.00 USD,used,good,available,BLUE,SEDAN,manual,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560474807687.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560423396242.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560439045322.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560440072328.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560455586468.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560456722620.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560469186677.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560470267607.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560482884283.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560534017057.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23940375/639207560541142796.jpg,,,,,,,,,
24245051,10819,2006 Ford Fusion SE,"Used 2006 Ford Fusion SE with 266,277 miles. Stock #10819. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/24245051/Used-2006-Ford-Fusion-SE-for-sale-in-South-Lebanon-OH-45065,Ford,Fusion SE,2006,266277,MI,3FAHP07Z96R148293,2595.00 USD,used,good,available,Not Specified,OTHER,manual,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673875246307.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673871555107.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673884942747.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673886079136.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673899366451.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673900286034.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24245051/639238673907177649.jpg,,,,,,,,,,,,,
24188762,10810,2004 Ford Taurus SE,"Used 2004 Ford Taurus SE with 264,787 miles. Stock #10810. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/24188762/Used-2004-Ford-Taurus-SE-for-sale-in-South-Lebanon-OH-45065,Ford,Taurus SE,2004,264787,MI,1FAFP53214A208569,1700.00 USD,used,good,available,Not Specified,SEDAN,automatic,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677880850454.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677849382265.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677866335590.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677867549164.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677879693937.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677880758690.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677942217733.jpg,https://imagescdn.dealercarsearch.com/Media/25092/24188762/639238677943217974.jpg,,,,,,,,,,,,
23783089,10767,2012 GMC Terrain SLE1 FWD,"Used 2012 GMC Terrain SLE1 FWD with 134,196 miles. Stock #10767. Buy Here Pay Here financing available at Village Motors in South Lebanon, OH — no credit check, no interest, no dealer fees. Call 283-203-8763 or visit us at 260 West Pike Street.",https://villagemotorsautos.com/vdp/23783089/Used-2012-GMC-Terrain-SLE1-FWD-for-sale-in-South-Lebanon-OH-45065,GMC,Terrain SLE1 FWD,2012,134196,MI,2GKALMEK3C6192530,4195.00 USD,used,good,available,Not Specified,OTHER,automatic,FWD,gasoline,Village Motors,"{""addr1"":""260 West Pike Street"",""city"":""South Lebanon"",""region"":""OH"",""postal_code"":""45065"",""country"":""US""}",39.3735708,-84.216369,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250480320024.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250454535597.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250470934791.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250472144871.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250489401349.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250540565481.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250555316002.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250556341526.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250569433687.jpg,https://imagescdn.dealercarsearch.com/Media/25092/23783089/639235250573289214.jpg,,,,,,,,,,
